dataset,unit,option,human_uses,llm_uses,human_pct,llm_pct,status
git,commit,-a,2,0,0.301,0.000,human_only
git,commit,--no-verify,2,6,0.301,0.395,shared
git,commit,--all,1,0,0.150,0.000,human_only
git,commit,-e,1,0,0.150,0.000,human_only
git,commit,-s,1,1,0.150,0.066,shared
git,commit,--date,0,1,0.000,0.066,llm_only
git,commit,-F,0,1,0.000,0.066,llm_only
git,commit,--message,0,3,0.000,0.198,llm_only
git,commit,-q,0,1,0.000,0.066,llm_only
git,commit,-S,0,2,0.000,0.132,llm_only
git,commit,-u,0,1,0.000,0.066,llm_only
git,config,--global,259,272,38.947,17.918,shared
git,config,--local,27,25,4.060,1.647,shared
git,config,--add,26,10,3.910,0.659,shared
git,config,--system,14,2,2.105,0.132,shared
git,config,--bool,10,0,1.504,0.000,human_only
git,config,--get,10,5,1.504,0.329,shared
git,config,--get-regexp,1,0,0.150,0.000,human_only
git,config,--unset,1,6,0.150,0.395,shared
git,config,-z,1,0,0.150,0.000,human_only
git,config,-f,0,5,0.000,0.329,llm_only
git,config,--file,0,2,0.000,0.132,llm_only
git,config,--get-all,0,1,0.000,0.066,llm_only
git,diff,--name-only,27,88,4.060,5.797,shared
git,diff,--exit-code,23,7,3.459,0.461,shared
git,diff,--quiet,13,102,1.955,6.719,shared
git,diff,--color,6,0,0.902,0.000,human_only
git,diff,--cached,5,107,0.752,7.049,shared
git,diff,--diff-filter,5,22,0.752,1.449,shared
git,diff,--stat,5,28,0.752,1.845,shared
git,diff,--staged,4,35,0.602,2.306,shared
git,diff,--name-status,2,10,0.301,0.659,shared
git,diff,--no-ext-diff,2,0,0.301,0.000,human_only
git,diff,--unified,2,2,0.301,0.132,shared
git,diff,--binary,0,1,0.000,0.066,llm_only
git,diff,--check,0,1,0.000,0.066,llm_only
git,diff,--no-color,0,2,0.000,0.132,llm_only
git,diff,--no-renames,0,1,0.000,0.066,llm_only
git,diff,--numstat,0,3,0.000,0.198,llm_only
git,diff,-p,0,2,0.000,0.132,llm_only
git,diff,--patch,0,1,0.000,0.066,llm_only
git,diff,-z,0,1,0.000,0.066,llm_only
git,fetch,--tags,8,10,1.203,0.659,shared
git,fetch,--depth,7,5,1.053,0.329,shared
git,fetch,--no-tags,6,10,0.902,0.659,shared
git,fetch,--quiet,5,0,0.752,0.000,human_only
git,fetch,--prune,4,6,0.602,0.395,shared
git,fetch,--force,3,4,0.451,0.264,shared
git,fetch,--unshallow,2,2,0.301,0.132,shared
git,fetch,--deepen,1,1,0.150,0.066,shared
git,fetch,-p,1,0,0.150,0.000,human_only
git,fetch,--progress,1,0,0.150,0.000,human_only
git,fetch,--all,0,2,0.000,0.132,llm_only
git,fetch,-q,0,1,0.000,0.066,llm_only
git,grep,--files-with-matches,1,0,0.150,0.000,human_only
git,grep,-h,1,0,0.150,0.000,human_only
git,grep,--no-line-number,1,0,0.150,0.000,human_only
git,init,--initial-branch,1,0,0.150,0.000,human_only
git,init,--quiet,1,0,0.150,0.000,human_only
git,init,-b,0,1,0.000,0.066,llm_only
git,init,-q,0,4,0.000,0.264,llm_only
git,log,--pretty,7,28,1.053,1.845,shared
git,log,--oneline,5,29,0.752,1.910,shared
git,log,--format,3,34,0.451,2.240,shared
git,log,--name-status,3,0,0.451,0.000,human_only
git,log,--diff-filter,2,0,0.301,0.000,human_only
git,log,--check,1,0,0.150,0.000,human_only
git,log,--first-parent,1,0,0.150,0.000,human_only
git,log,-n,1,5,0.150,0.329,shared
git,log,--no-merges,1,3,0.150,0.198,shared
git,log,--author,0,1,0.000,0.066,llm_only
git,log,--follow,0,2,0.000,0.132,llm_only
git,log,--grep,0,5,0.000,0.329,llm_only
git,log,-i,0,2,0.000,0.132,llm_only
git,log,--merges,0,1,0.000,0.066,llm_only
git,log,--name-only,0,2,0.000,0.132,llm_only
git,log,--no-decorate,0,1,0.000,0.066,llm_only
git,log,-P,0,2,0.000,0.132,llm_only
git,log,--reverse,0,3,0.000,0.198,llm_only
git,log,--since,0,1,0.000,0.066,llm_only
git,merge,--no-commit,2,2,0.301,0.132,shared
git,merge,--abort,0,3,0.000,0.198,llm_only
git,merge,--ff-only,0,1,0.000,0.066,llm_only
git,merge,-m,0,1,0.000,0.066,llm_only
git,merge,--no-edit,0,1,0.000,0.066,llm_only
git,merge,--no-ff,0,5,0.000,0.329,llm_only
git,merge,-S,0,1,0.000,0.066,llm_only
git,merge,--squash,0,1,0.000,0.066,llm_only
git,merge,-X,0,1,0.000,0.066,llm_only
git,pull,--no-rebase,3,0,0.451,0.000,human_only
git,pull,--quiet,1,0,0.150,0.000,human_only
git,pull,--rebase,1,15,0.150,0.988,shared
git,pull,--autostash,0,4,0.000,0.264,llm_only
git,pull,--ff-only,0,2,0.000,0.132,llm_only
git,push,--force,7,3,1.053,0.198,shared
git,push,--set-upstream,5,6,0.752,0.395,shared
git,push,-f,2,4,0.301,0.264,shared
git,push,--follow-tags,2,0,0.301,0.000,human_only
git,push,--force-with-lease,1,7,0.150,0.461,shared
git,push,--no-verify,0,5,0.000,0.329,llm_only
git,push,--tags,0,5,0.000,0.329,llm_only
git,push,-u,0,22,0.000,1.449,llm_only
git,rebase,--whitespace,2,0,0.301,0.000,human_only
git,rebase,--abort,0,2,0.000,0.132,llm_only
git,rebase,--autosquash,0,1,0.000,0.066,llm_only
git,rebase,--exec,0,1,0.000,0.066,llm_only
git,rebase,-i,0,4,0.000,0.264,llm_only
git,remote,-v,1,5,0.150,0.329,shared
git,reset,--hard,5,22,0.752,1.449,shared
git,reset,--soft,1,2,0.150,0.132,shared
git,reset,-q,0,2,0.000,0.132,llm_only
git,rm,--cached,0,2,0.000,0.132,llm_only
git,rm,-f,0,5,0.000,0.329,llm_only
git,rm,--quiet,0,2,0.000,0.132,llm_only
git,rm,-r,0,2,0.000,0.132,llm_only
git,show,--no-patch,3,0,0.451,0.000,human_only
git,show,--oneline,1,0,0.150,0.000,human_only
git,show,--format,0,3,0.000,0.198,llm_only
git,show,--name-only,0,3,0.000,0.198,llm_only
git,show,--pretty,0,1,0.000,0.066,llm_only
git,show,-s,0,1,0.000,0.066,llm_only
git,status,--porcelain,15,33,2.256,2.174,shared
git,status,--branch,1,0,0.150,0.000,human_only
git,status,-s,0,3,0.000,0.198,llm_only
git,status,--short,0,12,0.000,0.791,llm_only
git,switch,-c,4,0,0.602,0.000,human_only
git,switch,--track,1,0,0.150,0.000,human_only
git,tag,-l,3,12,0.451,0.791,shared
git,tag,-v,2,0,0.301,0.000,human_only
git,tag,--annotate,1,0,0.150,0.000,human_only
git,tag,-d,1,3,0.150,0.198,shared
git,tag,-f,1,3,0.150,0.198,shared
git,tag,-m,1,1,0.150,0.066,shared
git,tag,--message,1,0,0.150,0.000,human_only
git,tag,--points-at,1,0,0.150,0.000,human_only
git,tag,-a,0,9,0.000,0.593,llm_only
git,tag,--list,0,3,0.000,0.198,llm_only
git,tag,--sort,0,8,0.000,0.527,llm_only
gnu,awk,-F,24,11,1.109,0.369,shared
gnu,awk,-v,20,18,0.924,0.603,shared
gnu,base64,-d,1,0,0.046,0.000,human_only
gnu,chmod,-R,4,6,0.185,0.201,shared
gnu,chmod,-v,0,1,0.000,0.034,llm_only
gnu,chown,-R,13,11,0.600,0.369,shared
gnu,chown,--no-dereference,3,0,0.139,0.000,human_only
gnu,cmp,-s,14,0,0.647,0.000,human_only
gnu,cp,-r,7,20,0.323,0.670,shared
gnu,cp,-v,6,0,0.277,0.000,human_only
gnu,cp,-a,4,58,0.185,1.944,shared
gnu,cp,-p,4,0,0.185,0.000,human_only
gnu,cp,-R,3,2,0.139,0.067,shared
gnu,cp,-P,1,0,0.046,0.000,human_only
gnu,cp,-n,0,2,0.000,0.067,llm_only
gnu,cp,--preserve,0,4,0.000,0.134,llm_only
gnu,cp,--reflink,0,2,0.000,0.067,llm_only
gnu,cut,-f,232,82,10.716,2.748,shared
gnu,cut,-d,217,63,10.023,2.111,shared
gnu,cut,-c,10,2,0.462,0.067,shared
gnu,cut,-b,2,1,0.092,0.034,shared
gnu,date,-u,16,20,0.739,0.670,shared
gnu,date,-d,2,8,0.092,0.268,shared
gnu,date,-r,1,1,0.046,0.034,shared
gnu,date,--utc,1,0,0.046,0.000,human_only
gnu,date,-f,0,7,0.000,0.235,llm_only
gnu,date,-I,0,4,0.000,0.134,llm_only
gnu,df,-B,1,0,0.046,0.000,human_only
gnu,df,-k,1,1,0.046,0.034,shared
gnu,df,-P,1,0,0.046,0.000,human_only
gnu,df,-h,0,5,0.000,0.168,llm_only
gnu,df,-T,0,1,0.000,0.034,llm_only
gnu,diff,-u,3,0,0.139,0.000,human_only
gnu,diff,-n,2,0,0.092,0.000,human_only
gnu,diff,-p,2,0,0.092,0.000,human_only
gnu,du,-b,0,2,0.000,0.067,llm_only
gnu,du,-h,0,8,0.000,0.268,llm_only
gnu,du,-k,0,2,0.000,0.067,llm_only
gnu,du,-s,0,11,0.000,0.369,llm_only
gnu,echo,-e,189,671,8.730,22.487,shared
gnu,echo,-n,17,32,0.785,1.072,shared
gnu,echo,-E,0,1,0.000,0.034,llm_only
gnu,egrep,-o,1,0,0.046,0.000,human_only
gnu,egrep,-i,0,1,0.000,0.034,llm_only
gnu,fgrep,-q,0,1,0.000,0.034,llm_only
gnu,find,-exec,34,8,1.570,0.268,shared
gnu,find,-user,31,0,1.432,0.000,human_only
gnu,find,-name,12,73,0.554,2.446,shared
gnu,find,-type,9,34,0.416,1.139,shared
gnu,find,-maxdepth,4,13,0.185,0.436,shared
gnu,find,-regex,4,0,0.185,0.000,human_only
gnu,find,-L,3,0,0.139,0.000,human_only
gnu,find,-o,3,43,0.139,1.441,shared
gnu,find,-executable,2,0,0.092,0.000,human_only
gnu,find,-empty,1,1,0.046,0.034,shared
gnu,find,-iname,1,15,0.046,0.503,shared
gnu,find,-mindepth,1,1,0.046,0.034,shared
gnu,find,-mmin,1,0,0.046,0.000,human_only
gnu,find,-mtime,1,3,0.046,0.101,shared
gnu,find,-not,1,6,0.046,0.201,shared
gnu,find,-print,1,5,0.046,0.168,shared
gnu,find,-prune,1,1,0.046,0.034,shared
gnu,find,-delete,0,2,0.000,0.067,llm_only
gnu,find,-H,0,1,0.000,0.034,llm_only
gnu,find,-path,0,19,0.000,0.637,llm_only
gnu,find,-print0,0,3,0.000,0.101,llm_only
gnu,find,-printf,0,1,0.000,0.034,llm_only
gnu,find,-quit,0,5,0.000,0.168,llm_only
gnu,fold,-w,1,0,0.046,0.000,human_only
gnu,gawk,-v,0,1,0.000,0.034,llm_only
gnu,grep,-q,37,165,1.709,5.529,shared
gnu,grep,-v,20,48,0.924,1.609,shared
gnu,grep,-E,19,137,0.878,4.591,shared
gnu,grep,-i,19,45,0.878,1.508,shared
gnu,grep,-c,11,14,0.508,0.469,shared
gnu,grep,-n,10,11,0.462,0.369,shared
gnu,grep,-o,8,22,0.370,0.737,shared
gnu,grep,-P,8,0,0.370,0.000,human_only
gnu,grep,-a,5,0,0.231,0.000,human_only
gnu,grep,-x,5,1,0.231,0.034,shared
gnu,grep,-F,3,6,0.139,0.201,shared
gnu,grep,-f,2,0,0.092,0.000,human_only
gnu,grep,-m,2,3,0.092,0.101,shared
gnu,grep,-e,1,4,0.046,0.134,shared
gnu,grep,-l,1,0,0.046,0.000,human_only
gnu,grep,-A,0,2,0.000,0.067,llm_only
gnu,grep,-h,0,11,0.000,0.369,llm_only
gnu,grep,-I,0,10,0.000,0.335,llm_only
gnu,grep,--include,0,6,0.000,0.201,llm_only
gnu,grep,-L,0,1,0.000,0.034,llm_only
gnu,grep,--line-number,0,1,0.000,0.034,llm_only
gnu,grep,--max-count,0,1,0.000,0.034,llm_only
gnu,grep,--quiet,0,1,0.000,0.034,llm_only
gnu,grep,-r,0,17,0.000,0.570,llm_only
gnu,grep,-w,0,2,0.000,0.067,llm_only
gnu,gunzip,-c,10,0,0.462,0.000,human_only
gnu,gzip,-f,1,0,0.046,0.000,human_only
gnu,gzip,-c,0,1,0.000,0.034,llm_only
gnu,gzip,-n,0,1,0.000,0.034,llm_only
gnu,head,-n,28,32,1.293,1.072,shared
gnu,head,-c,1,15,0.046,0.503,shared
gnu,id,-u,44,10,2.032,0.335,shared
gnu,id,-g,22,1,1.016,0.034,shared
gnu,id,-n,3,0,0.139,0.000,human_only
gnu,id,-G,0,1,0.000,0.034,llm_only
gnu,install,-m,28,19,1.293,0.637,shared
gnu,install,-D,17,0,0.785,0.000,human_only
gnu,install,-d,11,4,0.508,0.134,shared
gnu,install,-T,11,0,0.508,0.000,human_only
gnu,install,-o,8,0,0.370,0.000,human_only
gnu,install,-t,5,0,0.231,0.000,human_only
gnu,install,-g,2,0,0.092,0.000,human_only
gnu,install,-p,2,0,0.092,0.000,human_only
gnu,ln,-s,32,11,1.478,0.369,shared
gnu,ln,-f,6,5,0.277,0.168,shared
gnu,ln,-T,1,0,0.046,0.000,human_only
gnu,ls,-l,7,7,0.323,0.235,shared
gnu,ls,-d,4,7,0.185,0.235,shared
gnu,ls,-F,3,0,0.139,0.000,human_only
gnu,ls,-A,2,5,0.092,0.168,shared
gnu,ls,-a,0,5,0.000,0.168,llm_only
gnu,ls,-t,0,4,0.000,0.134,llm_only
gnu,mkdir,-p,113,200,5.219,6.702,shared
gnu,mkdir,--parents,1,0,0.046,0.000,human_only
gnu,mkdir,-v,0,1,0.000,0.034,llm_only
gnu,mktemp,-d,9,11,0.416,0.369,shared
gnu,mktemp,-t,6,0,0.277,0.000,human_only
gnu,mktemp,-p,2,0,0.092,0.000,human_only
gnu,mktemp,--suffix,2,0,0.092,0.000,human_only
gnu,mktemp,--directory,1,0,0.046,0.000,human_only
gnu,mktemp,--tmpdir,1,0,0.046,0.000,human_only
gnu,mv,-f,5,61,0.231,2.044,shared
gnu,numfmt,--to,0,1,0.000,0.034,llm_only
gnu,od,-A,2,1,0.092,0.034,shared
gnu,od,-t,2,0,0.092,0.000,human_only
gnu,od,-j,1,0,0.046,0.000,human_only
gnu,od,-N,1,1,0.046,0.034,shared
gnu,od,-v,1,0,0.046,0.000,human_only
gnu,od,-i,0,1,0.000,0.034,llm_only
gnu,paste,-d,1,3,0.046,0.101,shared
gnu,paste,-s,1,3,0.046,0.101,shared
gnu,readlink,-f,19,5,0.878,0.168,shared
gnu,readlink,-e,2,0,0.092,0.000,human_only
gnu,readlink,--canonicalize,0,1,0.000,0.034,llm_only
gnu,readlink,--no-newline,0,1,0.000,0.034,llm_only
gnu,realpath,-m,0,1,0.000,0.034,llm_only
gnu,rm,-f,180,182,8.314,6.099,shared
gnu,rm,-r,50,52,2.309,1.743,shared
gnu,rmdir,-p,2,0,0.092,0.000,human_only
gnu,sed,-e,106,11,4.896,0.369,shared
gnu,sed,-n,52,12,2.402,0.402,shared
gnu,sed,-i,40,34,1.848,1.139,shared
gnu,sed,-f,9,0,0.416,0.000,human_only
gnu,sed,-E,8,28,0.370,0.938,shared
gnu,sed,-r,6,0,0.277,0.000,human_only
gnu,seq,-f,1,0,0.046,0.000,human_only
gnu,seq,-s,1,0,0.046,0.000,human_only
gnu,seq,-w,0,6,0.000,0.201,llm_only
gnu,sha256sum,-c,0,2,0.000,0.067,llm_only
gnu,sort,-u,10,32,0.462,1.072,shared
gnu,sort,-f,4,0,0.185,0.000,human_only
gnu,sort,-k,3,0,0.139,0.000,human_only
gnu,sort,-n,1,8,0.046,0.268,shared
gnu,sort,-o,1,1,0.046,0.034,shared
gnu,sort,-r,1,9,0.046,0.302,shared
gnu,sort,-t,1,0,0.046,0.000,human_only
gnu,sort,-V,0,2,0.000,0.067,llm_only
gnu,stat,-c,24,11,1.109,0.369,shared
gnu,stat,--format,4,0,0.185,0.000,human_only
gnu,stat,-f,0,6,0.000,0.201,llm_only
gnu,tail,-n,7,23,0.323,0.771,shared
gnu,tail,-c,0,4,0.000,0.134,llm_only
gnu,tail,-f,0,1,0.000,0.034,llm_only
gnu,tar,-f,7,27,0.323,0.905,shared
gnu,tar,-x,6,10,0.277,0.335,shared
gnu,tar,-z,4,7,0.185,0.235,shared
gnu,tar,-C,3,11,0.139,0.369,shared
gnu,tar,-c,1,15,0.046,0.503,shared
gnu,tar,-j,1,0,0.046,0.000,human_only
gnu,tar,--strip-components,1,1,0.046,0.034,shared
gnu,tar,--exclude,0,22,0.000,0.737,llm_only
gnu,tar,-r,0,2,0.000,0.067,llm_only
gnu,tar,-v,0,11,0.000,0.369,llm_only
gnu,tar,--zstd,0,1,0.000,0.034,llm_only
gnu,tee,-a,2,41,0.092,1.374,shared
gnu,timeout,--preserve-status,1,0,0.046,0.000,human_only
gnu,timeout,-k,0,1,0.000,0.034,llm_only
gnu,timeout,-l,0,2,0.000,0.067,llm_only
gnu,timeout,-p,0,1,0.000,0.034,llm_only
gnu,timeout,-s,0,4,0.000,0.134,llm_only
gnu,tr,-d,89,51,4.111,1.709,shared
gnu,tr,-c,3,15,0.139,0.503,shared
gnu,tr,-s,3,0,0.139,0.000,human_only
gnu,truncate,-s,0,3,0.000,0.101,llm_only
gnu,uname,-a,7,1,0.323,0.034,shared
gnu,uname,-m,5,9,0.231,0.302,shared
gnu,uname,-s,4,13,0.185,0.436,shared
gnu,uname,-o,1,2,0.046,0.067,shared
gnu,uname,-r,1,5,0.046,0.168,shared
gnu,uniq,-u,3,0,0.139,0.000,human_only
gnu,uniq,-d,1,0,0.046,0.000,human_only
gnu,uniq,-c,0,3,0.000,0.101,llm_only
gnu,wc,-l,22,71,1.016,2.379,shared
gnu,wc,-c,6,6,0.277,0.201,shared
gnu,wc,-w,1,3,0.046,0.101,shared
gnu,xz,-z,0,1,0.000,0.034,llm_only
