dataset,population,unit,option_a,option_b,cooccur_count
ci,human,pip_install,--no-index,-e,1
ci,human,pip_install,--no-index,--no-use-pep517,1
ci,human,pip_install,--pre,-f,1
ci,llm,docker_build,--target,-t,1
ci,llm,docker-compose_down,--remove-orphans,-v,2
ci,llm,docker-compose_exec,--autogenerate,-m,1
ci,llm,docker-compose_exec,--autogenerate,-T,1
ci,llm,docker-compose_exec,--no-install-project,-T,1
ci,llm,docker-compose_exec,-T,-m,1
ci,llm,docker_inspect,--format,-q,2
ci,llm,docker_run,--entrypoint,--rm,1
ci,llm,docker_run,--name,-d,1
ci,llm,docker_run,--name,--rm,1
ci,llm,docker_run,--rm,-d,1
ci,llm,npm_audit,--audit-level,--json,2
ci,llm,npm_audit,--json,-r,1
ci,llm,npm_ci,--arch,-f,1
ci,llm,npm_ci,--arch,--ignore-scripts,1
ci,llm,npm_ci,--arch,-w,1
ci,llm,npm_ci,-f,-w,1
ci,llm,npm_ci,--ignore-scripts,-f,1
ci,llm,npm_ci,--ignore-scripts,-w,1
ci,llm,npm_ci,--no-audit,--prefer-offline,1
git,human,clone,--branch,--recursive,2
git,human,commit,--allow-empty,-m,5
git,human,commit,--amend,--no-edit,3
git,human,commit,--allow-empty,--no-verify,2
git,human,commit,-a,-m,2
git,human,commit,--no-verify,-m,2
git,human,commit,--all,--amend,1
git,human,commit,--all,--no-edit,1
git,human,commit,-e,-m,1
git,human,commit,-e,-s,1
git,human,commit,-e,-v,1
git,human,commit,-m,-s,1
git,human,commit,-m,-v,1
git,human,commit,-s,-v,1
git,human,config,--add,--global,21
git,human,config,--get,--system,6
git,human,config,--add,--bool,4
git,human,config,--add,--local,4
git,human,config,--bool,--local,4
git,human,config,--add,--system,1
git,human,config,--get-regexp,-z,1
git,human,diff,--exit-code,--quiet,5
git,human,diff,--diff-filter,--name-only,4
git,human,diff,--exit-code,--stat,3
git,human,diff,--cached,--name-only,2
git,human,diff,--no-ext-diff,--quiet,2
git,human,diff,--quiet,--staged,2
git,human,diff,--cached,--no-ext-diff,1
git,human,diff,--cached,--quiet,1
git,human,diff,--diff-filter,--exit-code,1
git,human,diff,--diff-filter,--quiet,1
git,human,diff,--exit-code,--name-only,1
git,human,diff,--exit-code,--staged,1
git,human,diff,--name-only,--staged,1
git,human,diff,--name-status,--staged,1
git,human,fetch,--force,--tags,3
git,human,fetch,--depth,--no-tags,2
git,human,fetch,--depth,--prune,2
git,human,fetch,--no-tags,--prune,2
git,human,fetch,--deepen,--force,1
git,human,fetch,--deepen,--tags,1
git,human,fetch,--force,--prune,1
git,human,fetch,--no-tags,--unshallow,1
git,human,fetch,--progress,--unshallow,1
git,human,fetch,--prune,--tags,1
git,human,grep,--no-line-number,-h,1
git,human,log,--diff-filter,--name-status,2
git,human,log,--check,--pretty,1
git,human,log,--format,-n,1
git,human,log,--no-merges,--oneline,1
git,human,pull,--quiet,--rebase,1
git,human,push,--force,--set-upstream,2
git,human,show,--no-patch,--oneline,1
git,human,status,--branch,--porcelain,1
git,human,tag,--annotate,--message,1
git,llm,branch,--format,--list,1
git,llm,checkout,-b,-q,1
git,llm,cherry-pick,--strategy-option,-q,1
git,llm,clone,--depth,--recursive,2
git,llm,clone,--branch,--depth,1
git,llm,clone,--filter,--sparse,1
git,llm,commit,--amend,--no-edit,3
git,llm,commit,--no-verify,-m,3
git,llm,commit,-S,-m,2
git,llm,commit,--allow-empty,-m,1
git,llm,commit,--date,-m,1
git,llm,commit,-m,-q,1
git,llm,commit,-m,-s,1
git,llm,commit,-m,-u,1
git,llm,config,--add,--global,9
git,llm,config,--global,--unset,5
git,llm,config,--local,--unset,1
git,llm,diff,--cached,--quiet,51
git,llm,diff,--cached,--name-only,26
git,llm,diff,--quiet,--staged,26
git,llm,diff,--diff-filter,--name-only,19
git,llm,diff,--cached,--stat,13
git,llm,diff,--staged,--stat,4
git,llm,diff,--cached,--name-status,3
git,llm,diff,--diff-filter,--name-status,3
git,llm,diff,--cached,--diff-filter,2
git,llm,diff,--name-only,--staged,2
git,llm,diff,--cached,--check,1
git,llm,diff,--cached,--no-color,1
git,llm,diff,--cached,--numstat,1
git,llm,diff,--cached,--unified,1
git,llm,diff,--diff-filter,--no-renames,1
git,llm,diff,--exit-code,--patch,1
git,llm,diff,--exit-code,--quiet,1
git,llm,diff,--exit-code,--staged,1
git,llm,diff,--name-only,--no-renames,1
git,llm,diff,--name-only,-r,1
git,llm,diff,--name-status,-z,1
git,llm,diff,--no-color,--unified,1
git,llm,diff,--patch,--staged,1
git,llm,fetch,--force,--tags,4
git,llm,fetch,--prune,--tags,4
git,llm,fetch,--depth,--no-tags,3
git,llm,fetch,--force,--prune,3
git,llm,fetch,--all,--prune,1
git,llm,fetch,--all,--tags,1
git,llm,fetch,--deepen,--no-tags,1
git,llm,fetch,--no-tags,--prune,1
git,llm,log,--grep,--pretty,4
git,llm,log,--format,-n,3
git,llm,log,--no-merges,--pretty,3
git,llm,log,--follow,--format,2
git,llm,log,--grep,-i,2
git,llm,log,--grep,-P,2
git,llm,log,--name-only,--pretty,2
git,llm,log,-P,-i,2
git,llm,log,--pretty,-i,2
git,llm,log,--pretty,-P,2
git,llm,log,--pretty,--reverse,2
git,llm,log,--author,--grep,1
git,llm,log,--author,--pretty,1
git,llm,log,--author,--reverse,1
git,llm,log,--follow,--reverse,1
git,llm,log,--format,--reverse,1
git,llm,log,--format,--since,1
git,llm,log,--grep,--oneline,1
git,llm,log,--grep,--reverse,1
git,llm,log,--merges,--pretty,1
git,llm,log,--name-only,-n,1
git,llm,log,--name-only,--oneline,1
git,llm,log,--no-decorate,--oneline,1
git,llm,log,--oneline,--pretty,1
git,llm,log,--pretty,-n,1
git,llm,merge,--no-commit,--no-ff,2
git,llm,merge,--no-edit,--no-ff,1
git,llm,merge,--no-ff,-S,1
git,llm,pull,--autostash,--rebase,4
git,llm,push,--force,--tags,1
git,llm,rebase,--autosquash,-i,1
git,llm,rebase,--exec,--no-commit,1
git,llm,rm,--quiet,-r,2
git,llm,rm,--cached,-f,1
git,llm,show,--format,--name-only,1
git,llm,show,--format,-s,1
git,llm,show,--name-only,--pretty,1
git,llm,tag,-a,-m,1
git,llm,tag,--sort,-l,1
gnu,human,awk,-F,-v,6
gnu,human,chown,--no-dereference,-R,3
gnu,human,cp,-r,-v,2
gnu,human,cp,-P,-p,1
gnu,human,cp,-P,-R,1
gnu,human,cp,-R,-p,1
gnu,human,cp,-R,-v,1
gnu,human,cut,-d,-f,215
gnu,human,date,-d,-u,1
gnu,human,date,--rfc-2822,-d,1
gnu,human,date,-r,-u,1
gnu,human,df,-P,-k,1
gnu,human,diff,-n,-p,2
gnu,human,diff,-n,-u,2
gnu,human,diff,-p,-u,2
gnu,human,diff,--diff-filter,--name-only,1
gnu,human,find,-exec,-user,30
gnu,human,find,-name,-type,7
gnu,human,find,-exec,-name,4
gnu,human,find,-exec,-type,4
gnu,human,find,-maxdepth,-name,3
gnu,human,find,-maxdepth,-type,3
gnu,human,find,-name,-o,3
gnu,human,find,-exec,-executable,2
gnu,human,find,-exec,-maxdepth,2
gnu,human,find,-exec,-o,2
gnu,human,find,-executable,-maxdepth,2
gnu,human,find,-executable,-name,2
gnu,human,find,-executable,-type,2
gnu,human,find,-o,-type,2
gnu,human,find,-empty,-maxdepth,1
gnu,human,find,-empty,-mindepth,1
gnu,human,find,-empty,-not,1
gnu,human,find,-empty,-type,1
gnu,human,find,-L,-empty,1
gnu,human,find,-L,-maxdepth,1
gnu,human,find,-L,-mindepth,1
gnu,human,find,-L,-not,1
gnu,human,find,-L,-type,1
gnu,human,find,-maxdepth,-mindepth,1
gnu,human,find,-maxdepth,-not,1
gnu,human,find,-mindepth,-not,1
gnu,human,find,-mindepth,-type,1
gnu,human,find,-mtime,-name,1
gnu,human,find,-mtime,-print,1
gnu,human,find,-mtime,-type,1
gnu,human,find,-name,-print,1
gnu,human,find,-not,-type,1
gnu,human,find,-print,-type,1
gnu,human,find,-prune,-user,1
gnu,human,find,-regex,-type,1
gnu,human,grep,-q,-v,5
gnu,human,grep,-E,-i,4
gnu,human,grep,-P,-o,4
gnu,human,grep,-a,-i,3
gnu,human,grep,-E,-q,3
gnu,human,grep,-E,-v,3
gnu,human,grep,-E,-x,3
gnu,human,grep,-q,-x,3
gnu,human,grep,-E,-a,2
gnu,human,grep,-E,-o,2
gnu,human,grep,-F,-v,2
gnu,human,grep,-a,-f,1
gnu,human,grep,-a,-v,1
gnu,human,grep,-a,-x,1
gnu,human,grep,-E,-c,1
gnu,human,grep,-F,-a,1
gnu,human,grep,-F,-f,1
gnu,human,grep,-f,-i,1
gnu,human,grep,-F,-i,1
gnu,human,grep,-F,-q,1
gnu,human,grep,-f,-v,1
gnu,human,grep,-f,-x,1
gnu,human,grep,-F,-x,1
gnu,human,grep,-i,-v,1
gnu,human,grep,-i,-x,1
gnu,human,grep,-l,-x,1
gnu,human,grep,-v,-x,1
gnu,human,id,-g,-n,2
gnu,human,id,-n,-u,1
gnu,human,install,-T,-m,11
gnu,human,install,-d,-m,10
gnu,human,install,-D,-m,10
gnu,human,install,-D,-T,9
gnu,human,install,-D,-o,7
gnu,human,install,-D,-t,5
gnu,human,install,-o,-t,5
gnu,human,install,-d,-o,2
gnu,human,install,-g,-m,2
gnu,human,install,-g,-o,2
gnu,human,install,-m,-o,2
gnu,human,install,-D,-d,1
gnu,human,install,-d,-g,1
gnu,human,install,-D,-g,1
gnu,human,install,-m,-p,1
gnu,human,install,-T,-g,1
gnu,human,install,-T,-o,1
gnu,human,ln,-f,-s,6
gnu,human,ln,-T,-f,1
gnu,human,ln,-T,-s,1
gnu,human,ls,-d,-l,4
gnu,human,mktemp,-d,-t,2
gnu,human,mktemp,--suffix,-p,2
gnu,human,mktemp,--directory,--tmpdir,1
gnu,human,od,-A,-t,2
gnu,human,od,-A,-j,1
gnu,human,od,-A,-N,1
gnu,human,od,-A,-v,1
gnu,human,od,-j,-t,1
gnu,human,od,-N,-j,1
gnu,human,od,-N,-t,1
gnu,human,od,-t,-v,1
gnu,human,paste,-d,-s,1
gnu,human,rm,-f,-r,50
gnu,human,sed,-e,-n,16
gnu,human,sed,-E,-e,4
gnu,human,sed,-e,-i,3
gnu,human,sed,-E,-n,3
gnu,human,sed,-f,-n,2
gnu,human,sed,-i,-r,1
gnu,human,seq,-f,-s,1
gnu,human,sort,-f,-u,2
gnu,human,sort,-k,-t,1
gnu,human,sort,-k,-u,1
gnu,human,sort,-o,-u,1
gnu,human,sort,-t,-u,1
gnu,human,tar,-f,-x,6
gnu,human,tar,-f,-z,4
gnu,human,tar,-x,-z,4
gnu,human,tar,-c,-f,1
gnu,human,tar,-C,-f,1
gnu,human,tar,-c,-j,1
gnu,human,tar,-C,-x,1
gnu,human,tar,-f,-j,1
gnu,human,tar,--strip-components,-f,1
gnu,human,tar,--strip-components,-x,1
gnu,human,tr,-c,-d,3
gnu,llm,awk,-F,-v,2
gnu,llm,cut,-d,-f,63
gnu,llm,date,-f,-j,7
gnu,llm,date,-f,-v,2
gnu,llm,date,-j,-v,2
gnu,llm,date,-f,-v-7d,1
gnu,llm,date,-j,-v-7d,1
gnu,llm,df,-T,-h,1
gnu,llm,du,-h,-s,7
gnu,llm,du,-b,-s,2
gnu,llm,du,-k,-s,2
gnu,llm,find,-name,-type,17
gnu,llm,find,-name,-o,9
gnu,llm,find,-maxdepth,-name,8
gnu,llm,find,-exec,-name,6
gnu,llm,find,-maxdepth,-type,6
gnu,llm,find,-o,-type,6
gnu,llm,find,-name,-print,5
gnu,llm,find,-name,-quit,5
gnu,llm,find,-print,-quit,5
gnu,llm,find,-maxdepth,-print,4
gnu,llm,find,-maxdepth,-quit,4
gnu,llm,find,-name,-path,4
gnu,llm,find,-maxdepth,-o,3
gnu,llm,find,-name,-not,3
gnu,llm,find,-print0,-type,3
gnu,llm,find,-delete,-mtime,2
gnu,llm,find,-delete,-name,2
gnu,llm,find,-exec,-f,2
gnu,llm,find,-exec,-type,2
gnu,llm,find,-iname,-o,2
gnu,llm,find,-iname,-type,2
gnu,llm,find,-mtime,-name,2
gnu,llm,find,-not,-type,2
gnu,llm,find,-o,-path,2
gnu,llm,find,-o,-print,2
gnu,llm,find,-o,-quit,2
gnu,llm,find,-path,-type,2
gnu,llm,find,-empty,-type,1
gnu,llm,find,-exec,-l,1
gnu,llm,find,-exec,-maxdepth,1
gnu,llm,find,-exec,-mindepth,1
gnu,llm,find,-exec,-mtime,1
gnu,llm,find,-exec,-not,1
gnu,llm,find,-exec,-path,1
gnu,llm,find,-exec,-rf,1
gnu,llm,find,-exec,-xO,1
gnu,llm,find,-f,-mtime,1
gnu,llm,find,-f,-name,1
gnu,llm,find,-f,-type,1
gnu,llm,find,-f,-xO,1
gnu,llm,find,-H,-exec,1
gnu,llm,find,-H,-name,1
gnu,llm,find,-iname,-maxdepth,1
gnu,llm,find,-iname,-print0,1
gnu,llm,find,-l,-name,1
gnu,llm,find,-l,-not,1
gnu,llm,find,-l,-path,1
gnu,llm,find,-maxdepth,-mindepth,1
gnu,llm,find,-maxdepth,-path,1
gnu,llm,find,-maxdepth,-print0,1
gnu,llm,find,-maxdepth,-rf,1
gnu,llm,find,-mindepth,-name,1
gnu,llm,find,-mindepth,-rf,1
gnu,llm,find,-mtime,-type,1
gnu,llm,find,-name,-print0,1
gnu,llm,find,-name,-prune,1
gnu,llm,find,-name,-rf,1
gnu,llm,find,-name,-xO,1
gnu,llm,find,-not,-path,1
gnu,llm,find,-o,-print0,1
gnu,llm,find,-o,-prune,1
gnu,llm,find,-path,-print,1
gnu,llm,find,-path,-prune,1
gnu,llm,find,-path,-quit,1
gnu,llm,find,-printf,-type,1
gnu,llm,grep,-E,-q,69
gnu,llm,grep,-E,-v,22
gnu,llm,grep,-i,-q,22
gnu,llm,grep,-E,-i,21
gnu,llm,grep,-q,-v,18
gnu,llm,grep,-E,-o,17
gnu,llm,grep,-E,-r,13
gnu,llm,grep,-E,-h,11
gnu,llm,grep,-h,-o,11
gnu,llm,grep,-h,-r,11
gnu,llm,grep,-o,-r,11
gnu,llm,grep,-E,-I,10
gnu,llm,grep,-I,-h,10
gnu,llm,grep,-I,-o,10
gnu,llm,grep,-I,-r,10
gnu,llm,grep,-E,-n,7
gnu,llm,grep,-F,-q,6
gnu,llm,grep,-i,-n,4
gnu,llm,grep,-i,-r,4
gnu,llm,grep,-E,-c,3
gnu,llm,grep,-q,-r,3
gnu,llm,grep,--include,-r,2
gnu,llm,grep,-n,-r,2
gnu,llm,grep,-A,-e,1
gnu,llm,grep,--include,-E,1
gnu,llm,grep,--include,-i,1
gnu,llm,grep,--include,-n,1
gnu,llm,grep,-i,-v,1
gnu,llm,grep,--line-number,--max-count,1
gnu,llm,grep,-L,-q,1
gnu,llm,grep,-q,-w,1
gnu,llm,grep,-q,-x,1
gnu,llm,gzip,-c,-n,1
gnu,llm,install,-d,-m,4
gnu,llm,install,--no-completion,--no-key-bindings,1
gnu,llm,install,--no-completion,--no-update-rc,1
gnu,llm,install,--no-key-bindings,--no-update-rc,1
gnu,llm,ln,-f,-s,5
gnu,llm,ls,-a,-l,5
gnu,llm,od,-A,-i,1
gnu,llm,od,-A,-N,1
gnu,llm,od,-N,-i,1
gnu,llm,paste,-d,-s,3
gnu,llm,readlink,--canonicalize,--no-newline,1
gnu,llm,rm,-f,-r,52
gnu,llm,sed,-E,-i,1
gnu,llm,sort,-n,-r,3
gnu,llm,sort,-V,-r,2
gnu,llm,sort,-o,-u,1
gnu,llm,stat,-c,-f,1
gnu,llm,tar,-c,-f,15
gnu,llm,tar,-C,-f,11
gnu,llm,tar,-f,-v,11
gnu,llm,tar,-f,-x,10
gnu,llm,tar,-C,-v,7
gnu,llm,tar,-C,-x,7
gnu,llm,tar,-f,-z,7
gnu,llm,tar,-c,-z,5
gnu,llm,tar,-v,-x,5
gnu,llm,tar,-C,-c,4
gnu,llm,tar,-c,-v,4
gnu,llm,tar,--exclude,-c,3
gnu,llm,tar,--exclude,-f,3
gnu,llm,tar,--exclude,-v,3
gnu,llm,tar,-C,-z,2
gnu,llm,tar,--exclude,-C,2
gnu,llm,tar,-f,-r,2
gnu,llm,tar,-r,-v,2
gnu,llm,tar,-x,-z,2
gnu,llm,tar,--strip-components,-C,1
gnu,llm,tar,--strip-components,-f,1
gnu,llm,tar,--strip-components,-x,1
gnu,llm,tar,--zstd,-c,1
gnu,llm,tar,--zstd,-f,1
gnu,llm,timeout,-o,-s,3
gnu,llm,timeout,-l,-o,2
gnu,llm,timeout,-A,-L,1
gnu,llm,timeout,-A,-o,1
gnu,llm,timeout,-A,-s,1
gnu,llm,timeout,--connect-timeout,-A,1
gnu,llm,timeout,--connect-timeout,-L,1
gnu,llm,timeout,--connect-timeout,--max-time,1
gnu,llm,timeout,--connect-timeout,-o,1
gnu,llm,timeout,--connect-timeout,--retry,1
gnu,llm,timeout,--connect-timeout,-s,1
gnu,llm,timeout,-df,-o,1
gnu,llm,timeout,-df,-p,1
gnu,llm,timeout,-dL,-o,1
gnu,llm,timeout,-dL,-s,1
gnu,llm,timeout,--head,-k,1
gnu,llm,timeout,--head,-s,1
gnu,llm,timeout,-k,-s,1
gnu,llm,timeout,-L,-o,1
gnu,llm,timeout,-l,-rate,1
gnu,llm,timeout,-L,-s,1
gnu,llm,timeout,-l,-top-ports,1
gnu,llm,timeout,--max-time,-A,1
gnu,llm,timeout,--max-time,-L,1
gnu,llm,timeout,--max-time,-o,1
gnu,llm,timeout,--max-time,--retry,1
gnu,llm,timeout,--max-time,-s,1
gnu,llm,timeout,-o,-p,1
gnu,llm,timeout,-o,-rate,1
gnu,llm,timeout,-o,-top-ports,1
gnu,llm,timeout,-o,-u,1
gnu,llm,timeout,-rate,-top-ports,1
gnu,llm,timeout,--retry,-A,1
gnu,llm,timeout,--retry,-L,1
gnu,llm,timeout,--retry,-o,1
gnu,llm,timeout,--retry,-s,1
gnu,llm,timeout,-s,-u,1
gnu,llm,timeout,-tL,-u,1
gnu,llm,tr,-c,-d,15
