group,source_file,line_number,subcommand,options_all,num_options,options_valid,num_valid
human,human_grafana__grafana__pr-dependabot-update-go-workspace.yml,66,diff,"--exit-code --quiet",2,"--exit-code --quiet",2
human,human_grafana__grafana__pr-dependabot-update-go-workspace.yml,68,commit,"-a -m",2,"-a -m",2
human,human_grafana__grafana__pr-go-workspace-check.yml,70,diff,"--exit-code --quiet",2,"--exit-code --quiet",2
human,human_grafana__grafana__pr-k8s-codegen-check.yml,38,diff,"--exit-code --quiet",2,"--exit-code --quiet",2
human,human_grafana__grafana__release-pr.yml,140,config,"--local",1,"--local",1
human,human_grafana__grafana__release-pr.yml,141,config,"--local",1,"--local",1
human,human_grafana__grafana__release-pr.yml,142,config,"--local --add --bool",3,"--local --add --bool",3
human,human_grafana__grafana__release-pr.yml,145,checkout,"-b",1,"-b",1
human,human_grafana__grafana__release-pr.yml,192,commit,"--allow-empty -m",2,"--allow-empty -m",2
human,human_grafana__grafana__release-pr.yml,211,commit,"-m",1,"-m",1
human,human_grafana__grafana__swagger-gen.yml,74,add,"-f",1,"-f",1
human,human_grafana__grafana__swagger-gen.yml,75,diff,"--name-only --cached)"",2,"--name-only",1
human,human_hashicorp__terraform__checks.yml,136,status,"--porcelain)"",1,"",0
human,human_hashicorp__terraform__checks.yml,155,status,"--porcelain)"",1,"",0
human,human_home-assistant__core__check-requirements.lock.yml,383,config,"--global",1,"--global",1
human,human_home-assistant__core__check-requirements.lock.yml,384,config,"--global",1,"--global",1
human,human_home-assistant__core__check-requirements.lock.yml,385,config,"--global",1,"--global",1
human,human_home-assistant__core__check-requirements.lock.yml,757,config,"--global",1,"--global",1
human,human_home-assistant__core__check-requirements.lock.yml,758,config,"--global",1,"--global",1
human,human_home-assistant__core__check-requirements.lock.yml,759,config,"--global",1,"--global",1
human,human_linux-kernel_drivers_gpu_drm_ci_build.sh,60,config,"--global",1,"--global",1
human,human_linux-kernel_drivers_gpu_drm_ci_build.sh,61,config,"--global",1,"--global",1
human,human_linux-kernel_drivers_gpu_drm_ci_build.sh,68,pull,"--no-rebase",1,"--no-rebase",1
human,human_linux-kernel_drivers_gpu_drm_ci_build.sh,75,pull,"--no-rebase",1,"--no-rebase",1
human,human_linux-kernel_drivers_gpu_drm_ci_build.sh,79,pull,"--no-rebase",1,"--no-rebase",1
human,human_linux-kernel_scripts_check-uapi.sh,142,diff,"--quiet",1,"--quiet",1
human,human_linux-kernel_scripts_dtc_update-dtc-source.sh,43,log,"--oneline",1,"--oneline",1
human,human_linux-kernel_scripts_dtc_update-dtc-source.sh,53,log,"--oneline",1,"--oneline",1
human,human_linux-kernel_scripts_dtc_update-dtc-source.sh,80,commit,"-e -v -s -m",4,"-e -v -s -m",4
human,human_linux-kernel_scripts_git-resolve.sh,75,log,"--format",1,"--format",1
human,human_linux-kernel_scripts_git-resolve.sh,89,log,"--format",1,"--format",1
human,human_linux-kernel_tools_net_ynl_ynl-regen.sh,20,grep,"--files-with-matches",1,"",0
human,human_linux-kernel_tools_net_ynl_ynl-regen.sh,24,grep,"--no-line-number -h",2,"-h",1
human,human_linux-kernel_tools_testing_selftests_rcutorture_bin_kvm-series.sh,43,log,"--pretty",1,"--pretty",1
human,human_linux-kernel_tools_testing_selftests_rcutorture_bin_kvm-series.sh,95,checkout,"--detach",1,"",0
human,human_linux-kernel_tools_testing_selftests_rcutorture_bin_mktestid.sh,21,show,"--oneline --no-patch",2,"--oneline",1
human,human_magicmonty_bash-git-prompt_gitprompt.sh,235,config,"--get",1,"--get",1
human,human_magicmonty_bash-git-prompt_gitprompt.sh,484,fetch,"--quiet"",1,"",0
human,human_magicmonty_bash-git-prompt_gitprompt.sh,486,fetch,"--quiet"",1,"",0
human,human_magicmonty_bash-git-prompt_gitstatus_pre-1.7.10.sh,30,config,"--get",1,"--get",1
human,human_magicmonty_bash-git-prompt_gitstatus_pre-1.7.10.sh,41,diff,"--name-status",1,"--name-status",1
human,human_magicmonty_bash-git-prompt_gitstatus_pre-1.7.10.sh,46,diff,"--staged --name-status",2,"--name-status",1
human,human_magicmonty_bash-git-prompt_gitstatus.sh,34,config,"--get",1,"--get",1
human,human_magicmonty_bash-git-prompt_tests_benchmark.sh,105,status,"--porcelain --branch"",2,"--porcelain",1
human,human_matplotlib__matplotlib__clean_pr.yml,20,fetch,"--quiet",1,"",0
human,human_matplotlib__matplotlib__clean_pr.yml,22,log,"--name-status --diff-filter",2,"--name-status --diff-filter",2
human,human_matplotlib__matplotlib__clean_pr.yml,30,fetch,"--quiet",1,"",0
human,human_matplotlib__matplotlib__clean_pr.yml,32,log,"--name-status --diff-filter",2,"--name-status --diff-filter",2
human,human_matplotlib__matplotlib__clean_pr.yml,42,fetch,"--quiet",1,"",0
human,human_matplotlib__matplotlib__clean_pr.yml,44,log,"--name-status",1,"--name-status",1
human,human_matplotlib__matplotlib__cygwin.yml,81,config,"--global",1,"--global",1
human,human_matplotlib__matplotlib__cygwin.yml,130,config,"--global --add",2,"--global --add",2
human,human_matplotlib__matplotlib__cygwin.yml,132,config,"--global --add",2,"--global --add",2
human,human_moby__moby__.dco.yml,51,config,"--system --add",2,"--system --add",2
human,human_nodejs__node__create-release-proposal.yml,70,config,"--local",1,"--local",1
human,human_nodejs__node__create-release-proposal.yml,71,config,"--local",1,"--local",1
human,human_nodejs__node__linters.yml,121,diff,"--quiet --exit-code",2,"--quiet --exit-code",2
human,human_nodejs__node__lint-release-proposal.yml,62,diff,"--exit-code --quiet --diff-filter",3,"--exit-code --quiet --diff-filter",3
human,human_nodejs__node__test-linux.yml,93,add,"-A",1,"-A",1
human,human_nodejs__node__test-linux.yml,93,diff,"--name-only --exit-code --staged",3,"--name-only --exit-code",2
human,human_nodejs__node__update-v8.yml,40,config,"--global",1,"--global",1
human,human_nodejs__node__update-v8.yml,41,config,"--global",1,"--global",1
human,human_npm__cli__audit.yml,27,config,"--global",1,"--global",1
human,human_npm__cli__audit.yml,28,config,"--global",1,"--global",1
human,human_npm__cli__backport.yml,45,config,"--global",1,"--global",1
human,human_npm__cli__backport.yml,46,config,"--global",1,"--global",1
human,human_npm__cli__backport.yml,71,config,"--global",1,"--global",1
human,human_npm__cli__backport.yml,72,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmaccess.yml,36,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmaccess.yml,37,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmaccess.yml,96,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmaccess.yml,97,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmdiff.yml,36,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmdiff.yml,37,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmdiff.yml,96,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmdiff.yml,97,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmexec.yml,36,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmexec.yml,37,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmexec.yml,96,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmexec.yml,97,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmfund.yml,36,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmfund.yml,37,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmfund.yml,96,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmfund.yml,97,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmorg.yml,36,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmorg.yml,37,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmorg.yml,96,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmorg.yml,97,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmpack.yml,36,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmpack.yml,37,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmpack.yml,96,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmpack.yml,97,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmpublish.yml,36,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmpublish.yml,37,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmpublish.yml,96,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmpublish.yml,97,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmsearch.yml,36,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmsearch.yml,37,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmsearch.yml,96,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmsearch.yml,97,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmteam.yml,36,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmteam.yml,37,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmteam.yml,96,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmteam.yml,97,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmversion.yml,36,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmversion.yml,37,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmversion.yml,96,config,"--global",1,"--global",1
human,human_npm__cli__ci-libnpmversion.yml,97,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-arborist.yml,36,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-arborist.yml,37,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-arborist.yml,96,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-arborist.yml,97,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-config.yml,36,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-config.yml,37,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-config.yml,96,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-config.yml,97,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-docs.yml,36,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-docs.yml,37,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-docs.yml,87,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-docs.yml,88,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-docs.yml,121,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-docs.yml,122,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-mock-globals.yml,36,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-mock-globals.yml,37,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-mock-globals.yml,96,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-mock-globals.yml,97,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-mock-registry.yml,36,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-mock-registry.yml,37,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-mock-registry.yml,96,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-mock-registry.yml,97,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-smoke-tests.yml,36,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-smoke-tests.yml,37,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-smoke-tests.yml,96,config,"--global",1,"--global",1
human,human_npm__cli__ci-npmcli-smoke-tests.yml,97,config,"--global",1,"--global",1
human,human_npm__cli__ci-release.yml,40,config,"--global",1,"--global",1
human,human_npm__cli__ci-release.yml,41,config,"--global",1,"--global",1
human,human_npm__cli__ci-release.yml,117,config,"--global",1,"--global",1
human,human_npm__cli__ci-release.yml,118,config,"--global",1,"--global",1
human,human_npm__cli__ci-release.yml,182,config,"--global",1,"--global",1
human,human_npm__cli__ci-release.yml,183,config,"--global",1,"--global",1
human,human_npm__cli__ci-release.yml,243,config,"--global",1,"--global",1
human,human_npm__cli__ci-release.yml,244,config,"--global",1,"--global",1
human,human_npm__cli__ci.yml,44,config,"--global",1,"--global",1
human,human_npm__cli__ci.yml,45,config,"--global",1,"--global",1
human,human_npm__cli__ci.yml,104,config,"--global",1,"--global",1
human,human_npm__cli__ci.yml,105,config,"--global",1,"--global",1
human,human_npm__cli__ci.yml,136,config,"--global",1,"--global",1
human,human_npm__cli__ci.yml,137,config,"--global",1,"--global",1
human,human_npm__cli__ci.yml,170,config,"--global",1,"--global",1
human,human_npm__cli__ci.yml,171,config,"--global",1,"--global",1
human,human_npm__cli__ci.yml,219,config,"--global",1,"--global",1
human,human_npm__cli__ci.yml,220,config,"--global",1,"--global",1
human,human_npm__cli__ci.yml,261,config,"--global",1,"--global",1
human,human_npm__cli__ci.yml,262,config,"--global",1,"--global",1
human,human_npm__cli__codeql-analysis.yml,34,config,"--global",1,"--global",1
human,human_npm__cli__codeql-analysis.yml,35,config,"--global",1,"--global",1
human,human_npm__cli__create-node-pr.yml,37,config,"--global",1,"--global",1
human,human_npm__cli__create-node-pr.yml,38,config,"--global",1,"--global",1
human,human_npm__cli__node-integration.yml,98,reset,"--hard",1,"--hard",1
human,human_npm__cli__node-integration.yml,396,clone,"--recurse-submodules",1,"--recurse-submodules",1
human,human_npm__cli__pull-request.yml,31,config,"--global",1,"--global",1
human,human_npm__cli__pull-request.yml,32,config,"--global",1,"--global",1
human,human_npm__cli__release.yml,37,config,"--global",1,"--global",1
human,human_npm__cli__release.yml,38,config,"--global",1,"--global",1
human,human_npm__cli__release.yml,116,config,"--global",1,"--global",1
human,human_npm__cli__release.yml,117,config,"--global",1,"--global",1
human,human_npm__cli__release.yml,149,commit,"--all --amend --no-edit",3,"--amend --no-edit",2
human,human_npm__cli__release.yml,150,push,"--force-with-lease",1,"--force-with-lease",1
human,human_nvm-sh_nvm_install.sh,169,clone,"-o",1,"-o",1
human,human_ohmyzsh_ohmyzsh_plugins_alias-finder_tests_test_run.sh,11,commit,"-v",1,"-v",1
human,human_ohmyzsh_ohmyzsh_plugins_alias-finder_tests_test_run.sh,71,commit,"-v",1,"-v",1
human,human_ohmyzsh_ohmyzsh_plugins_alias-finder_tests_test_run.sh,81,commit,"-v",1,"-v",1
human,human_ohmyzsh_ohmyzsh_plugins_gitfast_git-prompt.sh,124,config,"-z --get-regexp",2,"-z --get-regexp",2
human,human_ohmyzsh_ohmyzsh_plugins_gitfast_git-prompt.sh,160,log,"--first-parent",1,"--first-parent",1
human,human_ohmyzsh_ohmyzsh_plugins_gitfast_git-prompt.sh,433,config,"--bool",1,"--bool",1
human,human_ohmyzsh_ohmyzsh_plugins_gitfast_git-prompt.sh,442,config,"--bool",1,"--bool",1
human,human_ohmyzsh_ohmyzsh_plugins_gitfast_git-prompt.sh,536,config,"--bool",1,"--bool",1
human,human_ohmyzsh_ohmyzsh_plugins_gitfast_git-prompt.sh,538,diff,"--no-ext-diff --quiet",2,"--no-ext-diff --quiet",2
human,human_ohmyzsh_ohmyzsh_plugins_gitfast_git-prompt.sh,539,diff,"--no-ext-diff --cached --quiet",3,"--no-ext-diff --cached --quiet",3
human,human_ohmyzsh_ohmyzsh_plugins_gitfast_git-prompt.sh,551,config,"--bool",1,"--bool",1
human,human_ohmyzsh_ohmyzsh_plugins_gitfast_git-prompt.sh,558,config,"--bool",1,"--bool",1
human,human_ohmyzsh_ohmyzsh_tools_changelog.sh,501,config,"--get",1,"--get",1
human,human_ohmyzsh_ohmyzsh_tools_check_for_upgrade.sh,44,config,"--local",1,"--local",1
human,human_ohmyzsh_ohmyzsh_tools_check_for_upgrade.sh,47,config,"--local",1,"--local",1
human,human_ohmyzsh_ohmyzsh_tools_install.sh,308,init,"--quiet",1,"",0
human,human_ohmyzsh_ohmyzsh_tools_install.sh,317,fetch,"--depth",1,"--depth",1
human,human_ohmyzsh_ohmyzsh_tools_install.sh,318,checkout,"-b",1,"-b",1
human,human_ohmyzsh_ohmyzsh_tools_upgrade.sh,195,remote,"-v",1,"-v",1
human,human_ohmyzsh_ohmyzsh_tools_upgrade.sh,212,config,"--local",1,"--local",1
human,human_ohmyzsh_ohmyzsh_tools_upgrade.sh,225,config,"--bool",1,"--bool",1
human,human_ohmyzsh_ohmyzsh_tools_upgrade.sh,231,config,"--local",1,"--local",1
human,human_ohmyzsh_ohmyzsh_tools_upgrade.sh,232,config,"--local",1,"--local",1
human,human_ohmyzsh_ohmyzsh_tools_upgrade.sh,237,checkout,"-q",1,"-q",1
human,human_ohmyzsh_ohmyzsh_tools_upgrade.sh,245,pull,"--quiet --rebase",2,"",0
human,human_ohmyzsh_ohmyzsh_tools_upgrade.sh,286,checkout,"-q",1,"-q",1
human,human_ohmyzsh_ohmyzsh_tools_upgrade.sh,290,config,"--unset",1,"--unset",1
human,human_pallets__flask__publish.yaml,25,log,"--pretty",1,"--pretty",1
human,human_pandas-dev__pandas__unit-tests.yml,275,config,"--global --add",2,"--global --add",2
human,human_pandas-dev__pandas__unit-tests.yml,278,clone,"--recursive --branch",2,"--recursive",1
human,human_pandas-dev__pandas__unit-tests.yml,279,reset,"--hard",1,"--hard",1
human,human_pandas-dev__pandas__unit-tests.yml,281,clone,"--recursive",1,"--recursive",1
human,human_pandas-dev__pandas__unit-tests.yml,316,config,"--global --add",2,"--global --add",2
human,human_pandas-dev__pandas__unit-tests.yml,319,clone,"--recursive --branch",2,"--recursive",1
human,human_pandas-dev__pandas__unit-tests.yml,320,reset,"--hard",1,"--hard",1
human,human_pandas-dev__pandas__unit-tests.yml,322,clone,"--recursive",1,"--recursive",1
human,human_prometheus__prometheus__ci.yml,47,diff,"--exit-code",1,"--exit-code",1
human,human_prometheus__prometheus__ci.yml,149,diff,"--exit-code",1,"--exit-code",1
human,human_psf__black__lint.yml,46,diff,"--exit-code",1,"--exit-code",1
human,human_psf__black__post_release.yml,26,reset,"--hard",1,"--hard",1
human,human_psf__requests__publish.yml,40,log,"--pretty",1,"--pretty",1
human,human_pytest-dev__pytest__deploy.yml,113,tag,"--annotate --message",2,"",0
human,human_python__mypy__mypy_primer.yml,55,checkout,"-b",1,"-b",1
human,human_python__mypy__sync_typeshed.yml,31,config,"--global",1,"--global",1
human,human_python__mypy__sync_typeshed.yml,32,config,"--global",1,"--global",1
human,human_python__mypy__test.yml,170,clone,"--depth",1,"--depth",1
human,human_python__mypy__test.yml,173,show,"--no-patch",1,"",0
human,human_python__mypy__test.yml,187,clone,"--depth",1,"--depth",1
human,human_python__mypy__test.yml,190,show,"--no-patch",1,"",0
human,human_python-poetry__poetry__.tests-matrix.yaml,77,diff,"--exit-code --stat",2,"--exit-code --stat",2
human,human_python-poetry__poetry__.tests-matrix.yaml,132,diff,"--exit-code --stat",2,"--exit-code --stat",2
human,human_python-poetry__poetry__tests.yaml,108,diff,"--exit-code --stat",2,"--exit-code --stat",2
human,human_pytorch__pytorch__apply-lint.yml,34,checkout,"-b",1,"-b",1
