file,provenance,repo,path,evidence
tmux_tmux__regress_if-shell-error.sh,human,tmux/tmux,regress/if-shell-error.sh,committed_before_2020
tmux_tmux__regress_if-shell-nested.sh,human,tmux/tmux,regress/if-shell-nested.sh,committed_before_2020
tmux_tmux__regress_kill-session-process-exit.sh,human,tmux/tmux,regress/kill-session-process-exit.sh,committed_before_2020
tmux_tmux__regress_new-session-base-index.sh,human,tmux/tmux,regress/new-session-base-index.sh,committed_before_2020
tmux_tmux__regress_new-session-command.sh,human,tmux/tmux,regress/new-session-command.sh,committed_before_2020
tmux_tmux__regress_new-session-environment.sh,human,tmux/tmux,regress/new-session-environment.sh,committed_before_2020
vim_vim__pixmaps_gen-inline-pixbufs.sh,human,vim/vim,pixmaps/gen-inline-pixbufs.sh,committed_before_2020
vim_vim__runtime_macros_less.sh,human,vim/vim,runtime/macros/less.sh,committed_before_2020
systemd_systemd__test_TEST-21-SYSUSERS_test.sh,human,systemd/systemd,test/TEST-21-SYSUSERS/test.sh,tree_at_commit_before_2020:14157349
systemd_systemd__test_TEST-03-JOBS_test-jobs.sh,human,systemd/systemd,test/TEST-03-JOBS/test-jobs.sh,tree_at_commit_before_2020:14157349
systemd_systemd__test_TEST-14-MACHINE-ID_test.sh,human,systemd/systemd,test/TEST-14-MACHINE-ID/test.sh,tree_at_commit_before_2020:14157349
systemd_systemd__test_TEST-04-JOURNAL_test-journal.sh,human,systemd/systemd,test/TEST-04-JOURNAL/test-journal.sh,tree_at_commit_before_2020:14157349
systemd_systemd__test_TEST-29-UDEV-ID_RENAMING_test.sh,human,systemd/systemd,test/TEST-29-UDEV-ID_RENAMING/test.sh,tree_at_commit_before_2020:14157349
systemd_systemd__test_TEST-22-TMPFILES_test.sh,human,systemd/systemd,test/TEST-22-TMPFILES/test.sh,tree_at_commit_before_2020:14157349
systemd_systemd__test_TEST-22-TMPFILES_test-03.sh,human,systemd/systemd,test/TEST-22-TMPFILES/test-03.sh,tree_at_commit_before_2020:14157349
systemd_systemd__test_TEST-15-DROPIN_test.sh,human,systemd/systemd,test/TEST-15-DROPIN/test.sh,tree_at_commit_before_2020:14157349
systemd_systemd__tools_find-tabs.sh,human,systemd/systemd,tools/find-tabs.sh,tree_at_commit_before_2020:14157349
systemd_systemd__test_TEST-27-STDOUTFILE_test.sh,human,systemd/systemd,test/TEST-27-STDOUTFILE/test.sh,tree_at_commit_before_2020:14157349
systemd_systemd__test_TEST-18-FAILUREACTION_testsuite.sh,human,systemd/systemd,test/TEST-18-FAILUREACTION/testsuite.sh,tree_at_commit_before_2020:14157349
systemd_systemd__test_TEST-37-RUNTIMEDIRECTORYPRESERVE_testsuite.sh,human,systemd/systemd,test/TEST-37-RUNTIMEDIRECTORYPRESERVE/testsuite.sh,tree_at_commit_before_2020:14157349
systemd_systemd__test_TEST-24-UNIT-TESTS_testsuite.sh,human,systemd/systemd,test/TEST-24-UNIT-TESTS/testsuite.sh,tree_at_commit_before_2020:14157349
systemd_systemd__test_TEST-37-RUNTIMEDIRECTORYPRESERVE_test.sh,human,systemd/systemd,test/TEST-37-RUNTIMEDIRECTORYPRESERVE/test.sh,tree_at_commit_before_2020:14157349
systemd_systemd__test_TEST-22-TMPFILES_test-02.sh,human,systemd/systemd,test/TEST-22-TMPFILES/test-02.sh,tree_at_commit_before_2020:14157349
systemd_systemd__travis-ci_managers_fuzzbuzz.sh,human,systemd/systemd,travis-ci/managers/fuzzbuzz.sh,tree_at_commit_before_2020:14157349
systemd_systemd__test_TEST-33-CLEAN-UNIT_test.sh,human,systemd/systemd,test/TEST-33-CLEAN-UNIT/test.sh,tree_at_commit_before_2020:14157349
systemd_systemd__tools_coverity.sh,human,systemd/systemd,tools/coverity.sh,tree_at_commit_before_2020:14157349
git_git__t_t7201-co.sh,human,git/git,t/t7201-co.sh,tree_at_commit_before_2020:13185fd2
git_git__t_t5601-clone.sh,human,git/git,t/t5601-clone.sh,tree_at_commit_before_2020:13185fd2
git_git__t_t9811-git-p4-label-import.sh,human,git/git,t/t9811-git-p4-label-import.sh,tree_at_commit_before_2020:13185fd2
git_git__t_t5526-fetch-submodules.sh,human,git/git,t/t5526-fetch-submodules.sh,tree_at_commit_before_2020:13185fd2
git_git__t_t9814-git-p4-rename.sh,human,git/git,t/t9814-git-p4-rename.sh,tree_at_commit_before_2020:13185fd2
git_git__contrib_vscode_init.sh,human,git/git,contrib/vscode/init.sh,tree_at_commit_before_2020:13185fd2
git_git__t_t1300-config.sh,human,git/git,t/t1300-config.sh,tree_at_commit_before_2020:13185fd2
git_git__t_t8011-blame-split-file.sh,human,git/git,t/t8011-blame-split-file.sh,tree_at_commit_before_2020:13185fd2
git_git__t_t5542-push-http-shallow.sh,human,git/git,t/t5542-push-http-shallow.sh,tree_at_commit_before_2020:13185fd2
git_git__t_perf_repos_inflate-repo.sh,human,git/git,t/perf/repos/inflate-repo.sh,tree_at_commit_before_2020:13185fd2
git_git__git-mergetool.sh,human,git/git,git-mergetool.sh,tree_at_commit_before_2020:13185fd2
git_git__t_t5307-pack-missing-commit.sh,human,git/git,t/t5307-pack-missing-commit.sh,tree_at_commit_before_2020:13185fd2
git_git__t_t4121-apply-diffs.sh,human,git/git,t/t4121-apply-diffs.sh,tree_at_commit_before_2020:13185fd2
git_git__t_t4005-diff-rename-2.sh,human,git/git,t/t4005-diff-rename-2.sh,tree_at_commit_before_2020:13185fd2
git_git__t_perf_p7300-clean.sh,human,git/git,t/perf/p7300-clean.sh,tree_at_commit_before_2020:13185fd2
git_git__t_perf_p0002-read-cache.sh,human,git/git,t/perf/p0002-read-cache.sh,tree_at_commit_before_2020:13185fd2
git_git__t_t6003-rev-list-topo-order.sh,human,git/git,t/t6003-rev-list-topo-order.sh,tree_at_commit_before_2020:13185fd2
git_git__git-merge-one-file.sh,human,git/git,git-merge-one-file.sh,tree_at_commit_before_2020:13185fd2
git_git__t_t4255-am-submodule.sh,human,git/git,t/t4255-am-submodule.sh,tree_at_commit_before_2020:13185fd2
openssl_openssl__.travis-create-release.sh,human,openssl/openssl,.travis-create-release.sh,tree_at_commit_before_2020:5f95fbf3
openssl_openssl__util_mktar.sh,human,openssl/openssl,util/mktar.sh,tree_at_commit_before_2020:5f95fbf3
openssl_openssl__util_opensslwrap.sh,human,openssl/openssl,util/opensslwrap.sh,tree_at_commit_before_2020:5f95fbf3
curl_curl__lib_firefox-db2pem.sh,human,curl/curl,lib/firefox-db2pem.sh,tree_at_commit_before_2020:a8d13336
curl_curl__scripts_travis_before_script.sh,human,curl/curl,scripts/travis/before_script.sh,tree_at_commit_before_2020:a8d13336
curl_curl__tests_objnames-test10.sh,human,curl/curl,tests/objnames-test10.sh,tree_at_commit_before_2020:a8d13336
curl_curl__packages_vms_gnv_curl_configure.sh,human,curl/curl,packages/vms/gnv_curl_configure.sh,tree_at_commit_before_2020:a8d13336
curl_curl__packages_vms_make_gnv_curl_install.sh,human,curl/curl,packages/vms/make_gnv_curl_install.sh,tree_at_commit_before_2020:a8d13336
curl_curl__packages_OS400_initscript.sh,human,curl/curl,packages/OS400/initscript.sh,tree_at_commit_before_2020:a8d13336
curl_curl__tests_fuzz_download_fuzzer.sh,human,curl/curl,tests/fuzz/download_fuzzer.sh,tree_at_commit_before_2020:a8d13336
curl_curl__tests_certs_scripts_genroot.sh,human,curl/curl,tests/certs/scripts/genroot.sh,tree_at_commit_before_2020:a8d13336
curl_curl__scripts_travis_script.sh,human,curl/curl,scripts/travis/script.sh,tree_at_commit_before_2020:a8d13336
curl_curl__scripts_travis_iconv-env.sh,human,curl/curl,scripts/travis/iconv-env.sh,tree_at_commit_before_2020:a8d13336
curl_curl__tests_certs_scripts_genserv.sh,human,curl/curl,tests/certs/scripts/genserv.sh,tree_at_commit_before_2020:a8d13336
curl_curl__packages_OS400_make-src.sh,human,curl/curl,packages/OS400/make-src.sh,tree_at_commit_before_2020:a8d13336
curl_curl__tests_objnames-test08.sh,human,curl/curl,tests/objnames-test08.sh,tree_at_commit_before_2020:a8d13336
curl_curl__packages_OS400_make-lib.sh,human,curl/curl,packages/OS400/make-lib.sh,tree_at_commit_before_2020:a8d13336
curl_curl__packages_OS400_make-tests.sh,human,curl/curl,packages/OS400/make-tests.sh,tree_at_commit_before_2020:a8d13336
curl_curl__packages_OS400_makefile.sh,human,curl/curl,packages/OS400/makefile.sh,tree_at_commit_before_2020:a8d13336
vim_vim__src_pathdef.sh,human,vim/vim,src/pathdef.sh,tree_at_commit_before_2020:87396072
vim_vim__src_installml.sh,human,vim/vim,src/installml.sh,tree_at_commit_before_2020:87396072
vim_vim__src_which.sh,human,vim/vim,src/which.sh,tree_at_commit_before_2020:87396072
vim_vim__runtime_tools_vimspell.sh,human,vim/vim,runtime/tools/vimspell.sh,tree_at_commit_before_2020:87396072
vim_vim__src_osdef.sh,human,vim/vim,src/osdef.sh,tree_at_commit_before_2020:87396072
vim_vim__src_installman.sh,human,vim/vim,src/installman.sh,tree_at_commit_before_2020:87396072
vim_vim__src_link.sh,human,vim/vim,src/link.sh,tree_at_commit_before_2020:87396072
ohmyzsh_ohmyzsh__oh-my-zsh.sh,human,ohmyzsh/ohmyzsh,oh-my-zsh.sh,tree_at_commit_before_2020:d9e64344
ohmyzsh_ohmyzsh__plugins_catimg_catimg.sh,human,ohmyzsh/ohmyzsh,plugins/catimg/catimg.sh,tree_at_commit_before_2020:d9e64344
ohmyzsh_ohmyzsh__plugins_gitfast_git-completion.bash,human,ohmyzsh/ohmyzsh,plugins/gitfast/git-completion.bash,tree_at_commit_before_2020:d9e64344
ohmyzsh_ohmyzsh__tools_upgrade.sh,human,ohmyzsh/ohmyzsh,tools/upgrade.sh,tree_at_commit_before_2020:d9e64344
ohmyzsh_ohmyzsh__plugins_wd__wd.sh,human,ohmyzsh/ohmyzsh,plugins/wd/_wd.sh,tree_at_commit_before_2020:d9e64344
ohmyzsh_ohmyzsh__tools_theme_chooser.sh,human,ohmyzsh/ohmyzsh,tools/theme_chooser.sh,tree_at_commit_before_2020:d9e64344
ohmyzsh_ohmyzsh__tools_install.sh,human,ohmyzsh/ohmyzsh,tools/install.sh,tree_at_commit_before_2020:d9e64344
ohmyzsh_ohmyzsh__tools_uninstall.sh,human,ohmyzsh/ohmyzsh,tools/uninstall.sh,tree_at_commit_before_2020:d9e64344
ohmyzsh_ohmyzsh__plugins_drush_drush.complete.sh,human,ohmyzsh/ohmyzsh,plugins/drush/drush.complete.sh,tree_at_commit_before_2020:d9e64344
ohmyzsh_ohmyzsh__tools_require_tool.sh,human,ohmyzsh/ohmyzsh,tools/require_tool.sh,tree_at_commit_before_2020:d9e64344
ohmyzsh_ohmyzsh__plugins_wd_wd.sh,human,ohmyzsh/ohmyzsh,plugins/wd/wd.sh,tree_at_commit_before_2020:d9e64344
ohmyzsh_ohmyzsh__plugins_emacs_emacsclient.sh,human,ohmyzsh/ohmyzsh,plugins/emacs/emacsclient.sh,tree_at_commit_before_2020:d9e64344
ohmyzsh_ohmyzsh__plugins_z_z.sh,human,ohmyzsh/ohmyzsh,plugins/z/z.sh,tree_at_commit_before_2020:d9e64344
ohmyzsh_ohmyzsh__plugins_gitfast_git-prompt.sh,human,ohmyzsh/ohmyzsh,plugins/gitfast/git-prompt.sh,tree_at_commit_before_2020:d9e64344
ohmyzsh_ohmyzsh__plugins_frontend-search__frontend-search.sh,human,ohmyzsh/ohmyzsh,plugins/frontend-search/_frontend-search.sh,tree_at_commit_before_2020:d9e64344
ohmyzsh_ohmyzsh__tools_check_for_upgrade.sh,human,ohmyzsh/ohmyzsh,tools/check_for_upgrade.sh,tree_at_commit_before_2020:d9e64344
nvm-sh_nvm__update_test_mocks.sh,human,nvm-sh/nvm,update_test_mocks.sh,tree_at_commit_before_2020:ec8906b2
nvm-sh_nvm__nvm.sh,human,nvm-sh/nvm,nvm.sh,tree_at_commit_before_2020:ec8906b2
nvm-sh_nvm__rename_test.sh,human,nvm-sh/nvm,rename_test.sh,tree_at_commit_before_2020:ec8906b2
nvm-sh_nvm__install.sh,human,nvm-sh/nvm,install.sh,tree_at_commit_before_2020:ec8906b2
nvm-sh_nvm__test_common.sh,human,nvm-sh/nvm,test/common.sh,tree_at_commit_before_2020:ec8906b2
rbenv_rbenv__completions_rbenv.bash,human,rbenv/rbenv,completions/rbenv.bash,tree_at_commit_before_2020:c46a9705
rbenv_rbenv__test_test_helper.bash,human,rbenv/rbenv,test/test_helper.bash,tree_at_commit_before_2020:c46a9705
rbenv_rbenv__rbenv.d_exec_gem-rehash.bash,human,rbenv/rbenv,rbenv.d/exec/gem-rehash.bash,tree_at_commit_before_2020:c46a9705
pyenv_pyenv__pyenv.d_exec_pip-rehash.bash,human,pyenv/pyenv,pyenv.d/exec/pip-rehash.bash,tree_at_commit_before_2020:4e0ba2f4
pyenv_pyenv__completions_pyenv.bash,human,pyenv/pyenv,completions/pyenv.bash,tree_at_commit_before_2020:4e0ba2f4
pyenv_pyenv__pyenv.d_rehash_conda.bash,human,pyenv/pyenv,pyenv.d/rehash/conda.bash,tree_at_commit_before_2020:4e0ba2f4
pyenv_pyenv__plugins_python-build_test_test_helper.bash,human,pyenv/pyenv,plugins/python-build/test/test_helper.bash,tree_at_commit_before_2020:4e0ba2f4
pyenv_pyenv__plugins_python-build_install.sh,human,pyenv/pyenv,plugins/python-build/install.sh,tree_at_commit_before_2020:4e0ba2f4
pyenv_pyenv__pyenv.d_rehash_source.bash,human,pyenv/pyenv,pyenv.d/rehash/source.bash,tree_at_commit_before_2020:4e0ba2f4
pyenv_pyenv__test_test_helper.bash,human,pyenv/pyenv,test/test_helper.bash,tree_at_commit_before_2020:4e0ba2f4
asdf-vm_asdf__release_tag.sh,human,asdf-vm/asdf,release/tag.sh,tree_at_commit_before_2020:95e0f534
asdf-vm_asdf__test_test_helpers.bash,human,asdf-vm/asdf,test/test_helpers.bash,tree_at_commit_before_2020:95e0f534
asdf-vm_asdf__lib_utils.sh,human,asdf-vm/asdf,lib/utils.sh,tree_at_commit_before_2020:95e0f534
asdf-vm_asdf__lib_asdf.sh,human,asdf-vm/asdf,lib/asdf.sh,tree_at_commit_before_2020:95e0f534
asdf-vm_asdf__asdf.sh,human,asdf-vm/asdf,asdf.sh,tree_at_commit_before_2020:95e0f534
asdf-vm_asdf__lib_commands_reshim.sh,human,asdf-vm/asdf,lib/commands/reshim.sh,tree_at_commit_before_2020:95e0f534
asdf-vm_asdf__lib_commands_version_commands.sh,human,asdf-vm/asdf,lib/commands/version_commands.sh,tree_at_commit_before_2020:95e0f534
asdf-vm_asdf__completions_asdf.bash,human,asdf-vm/asdf,completions/asdf.bash,tree_at_commit_before_2020:95e0f534
asdf-vm_asdf__lint.sh,human,asdf-vm/asdf,lint.sh,tree_at_commit_before_2020:95e0f534
rupa_z__z.sh,human,rupa/z,z.sh,tree_at_commit_before_2020:4f08e7fe
junegunn_fzf__shell_completion.bash,human,junegunn/fzf,shell/completion.bash,tree_at_commit_before_2020:577024f1
junegunn_fzf__shell_key-bindings.bash,human,junegunn/fzf,shell/key-bindings.bash,tree_at_commit_before_2020:577024f1
Bash-it_bash-it__themes_tylenol_tylenol.theme.bash,human,Bash-it/bash-it,themes/tylenol/tylenol.theme.bash,tree_at_commit_before_2020:00ef69e9
Bash-it_bash-it__themes_powerline-naked_powerline-naked.theme.bash,human,Bash-it/bash-it,themes/powerline-naked/powerline-naked.theme.bash,tree_at_commit_before_2020:00ef69e9
Bash-it_bash-it__plugins_available_alias-completion.plugin.bash,human,Bash-it/bash-it,plugins/available/alias-completion.plugin.bash,tree_at_commit_before_2020:00ef69e9
Bash-it_bash-it__completion_available_travis.completion.bash,human,Bash-it/bash-it,completion/available/travis.completion.bash,tree_at_commit_before_2020:00ef69e9
Bash-it_bash-it__completion_available_todo.completion.bash,human,Bash-it/bash-it,completion/available/todo.completion.bash,tree_at_commit_before_2020:00ef69e9
Bash-it_bash-it__themes_simple_simple.theme.bash,human,Bash-it/bash-it,themes/simple/simple.theme.bash,tree_at_commit_before_2020:00ef69e9
Bash-it_bash-it__test_fixtures_bash_it_aliases_available_a.aliases.bash,human,Bash-it/bash-it,test/fixtures/bash_it/aliases/available/a.aliases.bash,tree_at_commit_before_2020:00ef69e9
Bash-it_bash-it__themes_doubletime_multiline_doubletime_multiline.theme.bash,human,Bash-it/bash-it,themes/doubletime_multiline/doubletime_multiline.theme.bash,tree_at_commit_before_2020:00ef69e9
Bash-it_bash-it__themes_dos_dos.theme.bash,human,Bash-it/bash-it,themes/dos/dos.theme.bash,tree_at_commit_before_2020:00ef69e9
Bash-it_bash-it__completion_available_gh.completion.bash,human,Bash-it/bash-it,completion/available/gh.completion.bash,tree_at_commit_before_2020:00ef69e9
Bash-it_bash-it__themes_cupcake_cupcake.theme.bash,human,Bash-it/bash-it,themes/cupcake/cupcake.theme.bash,tree_at_commit_before_2020:00ef69e9
Bash-it_bash-it__plugins_available_z_autoenv.plugin.bash,human,Bash-it/bash-it,plugins/available/z_autoenv.plugin.bash,tree_at_commit_before_2020:00ef69e9
Bash-it_bash-it__completion_available_lerna.completion.bash,human,Bash-it/bash-it,completion/available/lerna.completion.bash,tree_at_commit_before_2020:00ef69e9
Bash-it_bash-it__completion_available_virsh.completion.bash,human,Bash-it/bash-it,completion/available/virsh.completion.bash,tree_at_commit_before_2020:00ef69e9
Bash-it_bash-it__aliases_available_jitsu.aliases.bash,human,Bash-it/bash-it,aliases/available/jitsu.aliases.bash,tree_at_commit_before_2020:00ef69e9
Bash-it_bash-it__plugins_available_chruby.plugin.bash,human,Bash-it/bash-it,plugins/available/chruby.plugin.bash,tree_at_commit_before_2020:00ef69e9
Bash-it_bash-it__aliases_available_systemd.aliases.bash,human,Bash-it/bash-it,aliases/available/systemd.aliases.bash,tree_at_commit_before_2020:00ef69e9
Bash-it_bash-it__aliases_available_node.aliases.bash,human,Bash-it/bash-it,aliases/available/node.aliases.bash,tree_at_commit_before_2020:00ef69e9
Bash-it_bash-it__lib_utilities.bash,human,Bash-it/bash-it,lib/utilities.bash,tree_at_commit_before_2020:00ef69e9
Bash-it_bash-it__plugins_available_nginx.plugin.bash,human,Bash-it/bash-it,plugins/available/nginx.plugin.bash,tree_at_commit_before_2020:00ef69e9
scop_bash-completion__test_docker_docker-script.sh,human,scop/bash-completion,test/docker/docker-script.sh,tree_at_commit_before_2020:3e941a64
scop_bash-completion__test_lib_library.sh,human,scop/bash-completion,test/lib/library.sh,tree_at_commit_before_2020:3e941a64
scop_bash-completion__setup-symlinks.sh,human,scop/bash-completion,setup-symlinks.sh,tree_at_commit_before_2020:3e941a64
scop_bash-completion__extra_git-post-commit.sh,human,scop/bash-completion,extra/git-post-commit.sh,tree_at_commit_before_2020:3e941a64
scop_bash-completion__extra_git-pre-push.sh,human,scop/bash-completion,extra/git-pre-push.sh,tree_at_commit_before_2020:3e941a64
scop_bash-completion__doc_makeHtml.sh,human,scop/bash-completion,doc/makeHtml.sh,tree_at_commit_before_2020:3e941a64
liquidprompt_liquidprompt__test.sh,human,liquidprompt/liquidprompt,test.sh,tree_at_commit_before_2020:5f4aeece
liquidprompt_liquidprompt__contrib_dist_debian_create_deb.sh,human,liquidprompt/liquidprompt,contrib/dist/debian/create_deb.sh,tree_at_commit_before_2020:5f4aeece
tj_n__test_tests_shared-functions.bash,human,tj/n,test/tests/shared-functions.bash,tree_at_commit_before_2020:98005fb6
tj_n__test_tests_install-reference-versions.bash,human,tj/n,test/tests/install-reference-versions.bash,tree_at_commit_before_2020:98005fb6
bats-core_bats-core__test_test_helper.bash,human,bats-core/bats-core,test/test_helper.bash,tree_at_commit_before_2020:87b16eb8
bats-core_bats-core__test_fixtures_bats_unofficial_bash_strict_mode.bash,human,bats-core/bats-core,test/fixtures/bats/unofficial_bash_strict_mode.bash,tree_at_commit_before_2020:87b16eb8
bats-core_bats-core__test_fixtures_bats_test_helper.bash,human,bats-core/bats-core,test/fixtures/bats/test_helper.bash,tree_at_commit_before_2020:87b16eb8
bats-core_bats-core__test_fixtures_bats_cmd_using_stdin.bash,human,bats-core/bats-core,test/fixtures/bats/cmd_using_stdin.bash,tree_at_commit_before_2020:87b16eb8
bats-core_bats-core__shellcheck.sh,human,bats-core/bats-core,shellcheck.sh,tree_at_commit_before_2020:87b16eb8
bats-core_bats-core__install.sh,human,bats-core/bats-core,install.sh,tree_at_commit_before_2020:87b16eb8
dokku_dokku__tests_ci_unit_test_runner.sh,human,dokku/dokku,tests/ci/unit_test_runner.sh,tree_at_commit_before_2020:8b41bc65
dokku_dokku__contrib_dokku-docker-bin.sh,human,dokku/dokku,contrib/dokku-docker-bin.sh,tree_at_commit_before_2020:8b41bc65
dokku_dokku__plugins_network_vendor_github.com_codegangsta_inject_update_readme.sh,human,dokku/dokku,plugins/network/vendor/github.com/codegangsta/inject/update_readme.sh,tree_at_commit_before_2020:8b41bc65
dokku_dokku__tests_unit_test_helper.bash,human,dokku/dokku,tests/unit/test_helper.bash,tree_at_commit_before_2020:8b41bc65
dokku_dokku__contrib_dokku_client.sh,human,dokku/dokku,contrib/dokku_client.sh,tree_at_commit_before_2020:8b41bc65
dokku_dokku__tests_ci_setup.sh,human,dokku/dokku,tests/ci/setup.sh,tree_at_commit_before_2020:8b41bc65
dokku_dokku__bootstrap.sh,human,dokku/dokku,bootstrap.sh,tree_at_commit_before_2020:8b41bc65
dokku_dokku__plugins_common_vendor_github.com_codegangsta_inject_update_readme.sh,human,dokku/dokku,plugins/common/vendor/github.com/codegangsta/inject/update_readme.sh,tree_at_commit_before_2020:8b41bc65
pi-hole_pi-hole__advanced_Scripts_piholeDebug.sh,human,pi-hole/pi-hole,advanced/Scripts/piholeDebug.sh,tree_at_commit_before_2020:8ae03b64
pi-hole_pi-hole__automated install_basic-install.sh,human,pi-hole/pi-hole,automated install/basic-install.sh,tree_at_commit_before_2020:8ae03b64
pi-hole_pi-hole__automated install_uninstall.sh,human,pi-hole/pi-hole,automated install/uninstall.sh,tree_at_commit_before_2020:8ae03b64
