study,tool,short_options,long_options,total
gnu,runcon,5,7,12
gnu,sdiff,16,20,36
gnu,sed,12,18,30
gnu,seq,3,5,8
gnu,sha1sum,5,12,17
gnu,sha224sum,5,12,17
gnu,sha256sum,5,12,17
gnu,sha384sum,5,12,17
gnu,sha512sum,5,12,17
gnu,shred,7,10,17
gnu,shuf,6,9,15
gnu,sleep,0,2,2
gnu,sort,22,30,52
gnu,split,10,15,25
gnu,stat,4,8,12
gnu,stdbuf,3,5,8
gnu,stty,47,5,52
gnu,sum,2,3,5
gnu,sync,2,4,6
gnu,tac,3,5,8
gnu,tail,8,14,22
gnu,tar,45,170,215
gnu,tee,3,5,8
gnu,timeout,6,7,13
gnu,touch,8,7,15
gnu,tr,5,6,11
gnu,truncate,4,6,10
gnu,tsort,0,2,2
gnu,tty,1,4,5
gnu,uname,9,11,20
gnu,unexpand,2,5,7
gnu,uniq,9,12,21
gnu,unlink,0,2,2
gnu,unxz,16,14,30
gnu,users,0,2,2
gnu,vdir,40,44,84
gnu,wc,5,10,15
gnu,who,14,17,31
gnu,whoami,0,2,2
gnu,xargs,17,18,35
gnu,xz,16,14,30
gnu,xzcat,16,14,30
gnu,yes,0,2,2
gnu,zcat,7,10,17
ci,docker_attach,0,3,3
ci,docker_build,5,36,41
ci,docker_commit,3,4,7
ci,docker_cp,3,3,6
ci,docker_create,15,95,110
ci,docker_events,1,4,5
ci,docker_exec,6,9,15
ci,docker_export,1,1,2
ci,docker_history,2,5,7
ci,docker_images,3,7,10
ci,docker_import,2,3,5
ci,docker_info,1,1,2
ci,docker_inspect,2,3,5
ci,docker_kill,1,1,2
ci,docker_load,2,3,5
ci,docker_login,2,3,5
ci,docker_logs,3,6,9
ci,docker_ps,7,8,15
ci,docker_pull,2,3,5
ci,docker_push,2,3,5
ci,docker_restart,2,2,4
ci,docker_rm,3,3,6
ci,docker_rmi,1,3,4
ci,docker_run,16,98,114
ci,docker_save,1,2,3
ci,docker_search,1,4,5
ci,docker_start,2,3,5
ci,docker_stats,1,4,5
ci,docker_stop,2,2,4
ci,docker_update,3,14,17
ci,docker_version,1,1,2
ci,docker-compose_build,2,14,16
ci,docker-compose_config,2,20,22
ci,docker-compose_cp,2,5,7
ci,docker-compose_create,1,10,11
ci,docker-compose_down,2,5,7
ci,docker-compose_events,0,4,4
ci,docker-compose_exec,5,8,13
ci,docker-compose_images,1,3,4
ci,docker-compose_kill,1,3,4
ci,docker-compose_logs,3,9,12
ci,docker-compose_ls,2,5,7
ci,docker-compose_pause,0,1,1
ci,docker-compose_port,0,3,3
ci,docker-compose_ps,2,9,11
ci,docker-compose_pull,1,6,7
ci,docker-compose_push,1,4,5
ci,docker-compose_restart,1,3,4
ci,docker-compose_rm,3,4,7
ci,docker-compose_run,11,25,36
ci,docker-compose_start,0,3,3
ci,docker-compose_stop,1,2,3
ci,docker-compose_top,0,1,1
ci,docker-compose_unpause,0,1,1
ci,docker-compose_up,5,30,35
ci,docker-compose_version,1,3,4
ci,docker-compose_wait,0,2,2
ci,docker-compose_watch,0,4,4
ci,npm_access,0,3,3
ci,npm_adduser,0,3,3
ci,npm_audit,2,14,16
ci,npm_bugs,1,6,7
ci,npm_cache,0,1,1
ci,npm_ci,1,16,17
ci,npm_config,3,5,8
ci,npm_dedupe,1,16,17
ci,npm_deprecate,0,2,2
ci,npm_diff,2,13,15
ci,npm_dist-tag,1,3,4
ci,npm_docs,1,6,7
ci,npm_doctor,0,1,1
ci,npm_edit,0,1,1
ci,npm_exec,2,5,7
ci,npm_explain,1,2,3
ci,npm_explore,0,1,1
ci,npm_find-dupes,1,15,16
ci,npm_fund,1,6,7
ci,npm_get,1,1,2
ci,npm_help,0,1,1
ci,npm_init,3,12,15
ci,npm_install,4,31,35
ci,npm_install-ci-test,1,16,17
ci,npm_install-test,4,31,35
ci,npm_link,4,25,29
ci,npm_ll,5,15,20
ci,npm_login,0,3,3
ci,npm_logout,0,2,2
ci,npm_ls,5,15,20
ci,npm_org,1,4,5
ci,npm_outdated,5,6,11
ci,npm_owner,1,4,5
ci,npm_pack,1,6,7
ci,npm_ping,0,1,1
ci,npm_pkg,2,4,6
ci,npm_prefix,1,1,2
ci,npm_profile,1,4,5
ci,npm_prune,1,10,11
ci,npm_publish,1,9,10
ci,npm_query,2,7,9
ci,npm_rebuild,2,8,10
ci,npm_repo,1,6,7
ci,npm_restart,0,2,2
ci,npm_root,1,1,2
ci,npm_run-script,1,7,8
ci,npm_sbom,1,6,7
ci,npm_search,1,12,13
ci,npm_set,2,2,4
ci,npm_star,0,3,3
ci,npm_stars,0,1,1
ci,npm_start,0,2,2
ci,npm_stop,0,2,2
ci,npm_team,1,4,5
ci,npm_test,0,2,2
ci,npm_token,0,4,4
ci,npm_uninstall,3,12,15
ci,npm_unpublish,2,4,6
ci,npm_unstar,0,3,3
ci,npm_update,3,25,28
ci,npm_version,1,10,11
ci,npm_view,1,4,5
ci,npm_whoami,0,1,1
ci,pip_cache,4,27,31
ci,pip_check,4,26,30
ci,pip_completion,8,30,38
ci,pip_config,4,30,34
ci,pip_debug,4,31,35
ci,pip_download,9,57,66
ci,pip_freeze,6,33,39
ci,pip_hash,5,28,33
ci,pip_index,6,44,50
ci,pip_inspect,4,29,33
ci,pip_install,13,76,89
ci,pip_list,10,48,58
ci,pip_show,5,27,32
ci,pip_uninstall,6,30,36
ci,pip_wheel,11,55,66
git,add,10,43,53
git,am,14,63,77
git,annotate,15,132,147
git,apply,8,60,68
git,archive,3,22,25
git,backfill,0,3,3
git,bisect,0,6,6
git,blame,15,40,55
git,branch,15,55,70
git,bugreport,2,7,9
git,bundle,1,4,5
git,cat-file,6,23,29
git,check-attr,2,9,11
git,check-ignore,4,11,15
git,check-mailmap,0,7,7
git,checkout-index,6,20,26
git,checkout,13,41,54
git,checkout--worker,0,3,3
git,check-ref-format,0,5,5
git,cherry-pick,8,32,40
git,cherry,1,5,6
git,clean,8,10,18
git,clone,12,77,89
git,column,0,14,14
git,commit-graph,0,13,13
git,commit-tree,4,2,6
git,commit,18,79,97
git,config,4,44,48
git,count-objects,2,5,7
git,credential-cache--daemon,0,3,3
git,credential-cache,0,5,5
git,credential-netrc,5,5,10
git,credential-store,0,2,2
git,describe,0,29,29
git,diagnose,2,6,8
git,diff-files,26,102,128
git,diff-index,21,100,121
git,diff-pairs,21,98,119
git,difftool--helper,0,1,1
git,difftool,5,21,26
git,diff-tree,25,120,145
git,diff,24,105,129
git,fast-export,2,36,38
git,fast-import,2,21,23
git,fetch-pack,3,16,19
git,fetch,15,83,98
git,filter-branch,2,13,15
git,fmt-merge-msg,2,11,13
git,for-each-ref,2,35,37
git,for-each-repo,0,5,5
git,format-patch,21,132,153
git,fsck-objects,1,29,30
git,fsck,1,29,30
git,fsmonitor--daemon,0,1,1
git,gc,1,22,23
git,grep,28,79,107
git,hash-object,2,11,13
git,help,7,23,30
git,history,0,2,2
git,hook,1,4,5
git,http-fetch,5,4,9
git,http-push,2,4,6
git,imap-send,3,11,14
git,index-pack,2,15,17
git,init-db,2,16,18
git,init,2,16,18
git,interpret-trailers,0,22,22
git,last-modified,3,6,9
git,log,31,191,222
git,ls-files,14,46,60
git,ls-remote,5,25,30
git,ls-tree,5,12,17
git,mailinfo,5,9,14
git,mailsplit,4,2,6
git,maintenance,0,6,6
git,merge-base,1,6,7
git,merge-file,3,20,23
git,merge-index,3,0,3
git,mergetool,4,6,10
git,merge-tree,2,13,15
git,merge,9,57,66
git,mktag,0,2,2
git,mktree,1,5,6
git,multi-pack-index,0,14,14
git,mv,4,9,13
git,name-rev,0,21,21
git,notes,10,20,30
git,pack-objects,1,87,88
git,pack-redundant,0,3,3
git,pack-refs,0,11,11
git,patch-id,0,3,3
git,pickaxe,14,36,50
git,prune-packed,2,5,7
git,prune,2,11,13
git,pull,17,94,111
git,push,9,55,64
git,quiltimport,2,10,12
git,range-diff,21,114,135
git,read-tree,7,26,33
git,rebase,12,73,85
git,receive-pack,1,13,14
git,reflog,1,9,10
git,refs,0,29,29
git,remote-ftps,1,0,1
git,remote-ftp,1,0,1
git,remote-https,1,0,1
git,remote-http,1,0,1
git,remote,8,14,22
git,repack,13,48,61
git,replace,5,13,18
git,replay,6,72,78
git,repo,1,3,4
git,request-pull,1,0,1
git,rerere,0,2,2
git,reset,4,24,28
git,restore,9,33,42
git,revert,6,25,31
git,rev-list,7,203,210
git,rev-parse,2,51,53
git,rm,5,17,22
git,send-pack,4,39,43
git,shell,1,0,1
git,shortlog,10,73,83
git,show-branch,4,28,32
git,show-index,0,2,2
git,show-ref,3,22,25
git,show,25,118,143
git,stage,10,43,53
git,stash,8,17,25
git,status,6,28,34
git,stripspace,2,2,4
git,submodule--helper,0,1,1
git,submodule,6,26,32
git,_summary,0,0,0
git,switch,7,31,38
git,symbolic-ref,3,9,12
git,tag,12,43,55
git,unpack-objects,3,2,5
git,update-index,3,52,55
git,update-ref,4,9,13
git,update-server-info,1,2,3
git,upload-archive,0,1,1
git,upload-pack,0,11,11
git,var,1,0,1
git,verify-commit,1,5,6
git,verify-pack,2,7,9
git,verify-tag,1,7,8
git,_version,0,0,0
git,version,0,2,2
git,web--browse,3,4,7
git,whatchanged,2,18,20
git,worktree,8,19,27
git,write-tree,0,7,7
